Image,Lesion_Size,Perimeter,Compactness,BoundingBox_Area,Orientation,Solidity,Asymmetry,Mean_Intensity,Mean_RGB,Mean_HSV,Color_Std,Color_Entropy,Color_Variance
ISIC_0025333,64909,1138.832603,1.602372057,94392,85.41949463,0.941369911,244.9607912,131.3958157,132.3137623,115.5131389,21.50587578,5.749633045,463.952763
ISIC_0025334,55841,937.2762529,1.260973787,78674,133.6582794,0.967184515,217.0918142,102.294676,106.1884338,139.6238308,28.01009217,6.651189025,786.467308
ISIC_0025335,17127,513.0020877,1.238870955,22752,1.132628322,0.961767132,41.46342031,138.3129562,137.6088243,99.04176641,18.29802884,5.211038508,382.7610012
ISIC_0025336,24960,612.8427078,1.210310324,33366,81.52542114,0.978445201,212.7384615,128.4596554,124.9363114,95.45113515,39.64752083,6.920903356,1592.772895
ISIC_0025337,126898,1445.165642,1.316178807,175338,94.19114685,0.959758299,56.16353291,138.8627008,141.2987439,119.29281,14.41809206,5.320681006,222.133461
ISIC_0025338,29515,673.3696189,1.234709937,37840,168.0105133,0.968788331,296.5662205,78.95517533,83.57748038,145.7078774,26.21015866,6.870120437,719.9624496
ISIC_0025339,36429,756.683326,1.262238257,44895,103.8058395,0.959312755,37.31532569,161.2884515,170.354635,155.7717386,21.85919747,6.084980084,487.6177275
ISIC_0025340,30923,709.9381607,1.309799189,45342,16.37437057,0.939396263,83.77971087,75.9590596,73.79909237,99.16666128,37.95247398,6.747954933,1448.775943
ISIC_0025341,4557,267.5218585,1.282268622,6399,50.84924698,0.965228728,214.4849677,98.29405311,96.58481457,84.91807476,36.69414199,6.767106134,1367.33709
ISIC_0025342,19804,544.5584358,1.205959371,25434,137.567688,0.977593485,411.223591,172.1255807,178.2837979,164.4009291,7.413388354,4.401080175,58.14543026
ISIC_0025343,37318,773.7960258,1.288388559,50600,168.0136261,0.981619111,107.8248566,77.84018436,81.81838076,142.0742537,21.59810475,6.516642951,472.3636158
ISIC_0025344,82738,1188.697606,1.367397242,118680,11.96420383,0.962295283,81.71529405,115.3107762,116.8619135,118.4666296,28.00190308,6.596990144,790.2322054
ISIC_0025345,61981,1110.690467,1.596432438,87330,89.30684662,0.926392383,115.1774899,145.1958826,143.9784934,94.92712821,16.19106686,5.129705709,297.5357364
ISIC_0025346,68646,1257.526035,1.847744511,98532,94.63496399,0.887564672,105.3744719,133.9245404,131.8684944,95.90375259,24.24404014,4.978681038,681.0968099
ISIC_0025347,141932,1528.337216,1.315812292,184611,7.022386551,0.962026954,81.62376349,128.4995773,129.985796,123.0870065,21.15781394,6.062544838,457.7937543
ISIC_0025348,58790,979.3178846,1.307496015,83210,163.3508453,0.959433916,213.0735159,135.2103929,137.1079946,117.5692748,17.85224168,5.607102193,333.4314527
ISIC_0025349,15191,557.8893888,1.657647332,22032,105.863472,0.961146312,382.9130404,143.6072016,148.3669278,156.8995238,10.73307826,4.760655784,124.9185711
ISIC_0025350,121103,1505.869181,1.498314196,171770,168.0845184,0.932243732,74.96322964,148.532076,151.2522206,118.8351816,22.76483466,5.687961286,557.4931274
ISIC_0025351,132996,1710.025594,1.759256153,214896,96.03981781,0.90601572,72.15952359,145.9858793,146.524883,104.8389776,33.43605369,6.553908607,1156.350319
ISIC_0025352,15229,477.3036029,1.207006555,20010,38.60668945,0.97649774,156.8376123,143.7081883,144.7397071,111.0911419,44.19529349,6.770880742,1960.004765
ISIC_0025353,58393,993.9869288,1.356194448,85760,74.02111816,0.951883292,98.30876987,118.665114,124.1290223,160.3302394,19.87822918,5.841700944,411.0874328
ISIC_0025354,31413,694.5411929,1.233897721,41106,75.91880798,0.969461367,71.55254192,86.98624773,92.57323401,162.0369698,29.22379786,6.947574527,866.6979114
ISIC_0025355,100606,1251.14126,1.244847895,135219,62.73400879,0.974945804,95.99173011,67.87768125,68.42828128,98.02713887,34.10177059,7.062223598,1166.992699
ISIC_0025356,62148,988.1046792,1.258808236,87138,32.00630569,0.966913924,74.12087274,99.67220184,101.1479747,120.2069951,37.81359268,7.244127298,1443.699847
ISIC_0025357,30652,698.2224308,1.277817436,46945,151.5836945,0.968838753,316.2500325,88.01337596,91.21333029,123.7772848,21.49176406,6.30202389,462.5658823
ISIC_0025358,57795,969.5605239,1.303671251,80340,58.7526207,0.967101216,101.2394844,166.6872913,165.8507368,102.9848257,17.30450743,5.566368464,314.7391027
ISIC_0025359,88763,1160.773728,1.214887643,113220,141.8375092,0.973236734,103.5559411,82.68696416,87.67369662,153.9348715,20.12979744,6.405038532,406.3003662
ISIC_0025360,45210,845.1513637,1.267519896,61920,99.55055237,0.9704603,237.2006193,98.42539261,101.3908501,126.8188454,32.10712195,6.986903743,1039.205648
ISIC_0025361,61936,1002.773728,1.300940291,88779,36.11029434,0.957673893,150.5760785,88.44169788,91.69312947,127.383907,26.13455411,6.764859066,690.1445232
ISIC_0025362,115397,1553.893565,1.674925238,182880,101.1206894,0.880591516,137.1255059,147.5373797,150.2820899,124.4306004,10.57266227,4.907366447,114.8451716
ISIC_0025363,29001,727.2274842,1.467384696,42135,91.05897522,0.935925466,58.542533,125.6356677,131.3367815,137.556659,22.47437076,5.694087179,591.2222992
ISIC_0025364,24991,616.9848428,1.225188257,34040,139.8786163,0.971455513,461.1298466,117.7880837,118.0000133,115.6029637,30.56199529,6.727345241,942.0092797
ISIC_0025365,108822,1285.26615,1.214076569,149292,75.71650696,0.981138487,26.02297329,92.27427358,92.77887131,118.6732493,31.70207474,6.966133147,1027.609069
ISIC_0025366,54629,984.6488369,1.423474159,76680,167.9467773,0.966537083,262.0310823,145.772392,148.6370975,127.8062629,22.12202181,6.224601042,490.8897158
ISIC_0025367,4459,264.1076444,1.277504088,6424,57.22064209,0.981920902,162.705539,117.6041713,114.1628915,100.9058085,22.27388126,5.51161891,565.5095761
ISIC_0025368,47272,946.6904649,1.521702382,73014,136.6643829,0.933671995,130.5669318,149.737921,151.7266669,117.9656668,13.22584063,5.094049594,183.834539
ISIC_0025369,82972,1183.969684,1.352684056,122718,37.50092697,0.942856489,107.7907728,142.6144603,145.8850174,131.2080381,25.17284952,5.92292726,674.136149
ISIC_0025370,21119,602.2569207,1.383791507,32039,116.5496368,0.955672134,149.0979686,102.4651262,103.5507679,114.8318891,29.02330258,6.820819409,854.4137011
ISIC_0025371,88144,1319.442773,1.582115631,132664,64.73174286,0.915258223,219.2717371,94.65939826,99.14923685,150.1431143,22.96590816,6.444159047,527.9588904
ISIC_0025372,49669,867.6193979,1.21503422,69600,66.92902374,0.981436875,73.12665846,138.0622924,141.2158489,127.0770299,16.91454632,5.07203443,322.8216475
ISIC_0025373,71373,1041.702661,1.217517681,94572,102.8678513,0.977770272,146.9723285,147.1927199,152.7254517,148.885232,23.54407258,6.073529394,570.3430469
ISIC_0025374,104980,1347.099627,1.383365406,144724,148.4291534,0.94439745,65.24122689,120.2323585,122.3906935,103.621493,29.7488452,6.095915036,953.6437152
ISIC_0025375,30412,679.2691132,1.219083132,41406,140.991333,0.975529968,220.8643956,100.2840326,103.5309746,131.6427287,48.4535465,7.245162972,2370.975454
ISIC_0025376,8196,344.5929261,1.174856389,10290,161.7706451,0.983492295,160.5466079,88.78318692,92.91398243,122.5788596,40.32534588,7.008693231,1628.412838
ISIC_0025377,111175,1363.768673,1.338403661,147126,12.07258129,0.960325834,89.07671688,113.7287879,116.9170467,130.8277221,23.54787305,6.112294846,560.2470612
ISIC_0025378,7879,342.5340523,1.207551872,10682,153.4352264,0.975215992,58.74451065,140.0106613,139.3337564,98.37597834,12.32903493,4.507470618,189.8616404
ISIC_0025379,134118,1464.604243,1.278686516,186172,145.2246094,0.9614645,104.0125263,109.7963361,113.9681947,142.4810416,23.25507766,6.389990732,543.2782225
ISIC_0025380,62869,992.5483313,1.255580261,82890,56.78251648,0.970129194,213.9081582,111.4614039,115.8284581,145.4729358,27.67889742,6.592849634,768.6716061
ISIC_0025381,58591,1051.050857,1.512466762,83283,80.56282806,0.951144676,105.465481,182.6748989,180.1813817,113.4451139,33.52656737,5.299730706,1138.815544
ISIC_0025382,59144,980.0041767,1.301480768,79927,152.2240906,0.969602404,144.7682943,145.8749324,144.7031426,119.8660895,27.04470244,5.986920698,743.8360471
ISIC_0025383,95748,1255.366653,1.317121808,142719,120.0601807,0.96773046,165.7043071,167.947978,177.7961559,152.9504393,26.98781486,5.951580041,795.2547294
ISIC_0025384,178207,1712.506701,1.315438291,216700,80.15715027,0.975372749,143.0268396,102.0458119,105.9631964,141.4902314,34.16849806,6.825126288,1177.506518
ISIC_0025385,35368,719.9554056,1.176728134,45024,70.02040863,0.983198698,62.72608005,74.74787944,77.51194111,124.3117696,40.4060034,7.439905175,1757.706903
ISIC_0025386,73801,1067.418389,1.236343977,96624,179.1404724,0.979635591,97.7157491,116.2252815,116.4417555,107.1387967,35.48485566,7.106817198,1263.400183
ISIC_0025387,80036,1441.449916,2.081976259,125751,90.41056824,0.828689042,125.4987256,143.0482033,145.6891441,121.2118422,42.52331161,7.100943894,1850.835526
ISIC_0025388,35151,735.009228,1.23402087,48555,67.10504913,0.977209296,89.63750673,100.5845353,102.4037344,103.8992537,19.62082326,5.829048174,399.3728157
ISIC_0025389,79142,1350.614347,1.848078806,123012,93.67224121,0.870674891,100.8382907,123.8497511,127.6032448,129.493598,23.35149824,6.099947951,554.0685197
ISIC_0025390,95610,1221.768675,1.249229972,132354,160.8302765,0.971187531,137.9524317,109.0591884,114.4224872,165.0425618,16.90664877,5.798128415,290.4741473
ISIC_0025391,131156,1643.366652,1.647725682,178893,77.43789673,0.898345593,82.84534447,144.0999573,149.1029715,139.9719977,26.63870305,6.006056953,752.6100532
ISIC_0025392,54156,904.808217,1.211813732,68930,72.24294281,0.986739104,93.2275648,110.3776313,110.8016286,103.8773358,21.59768081,6.623932713,473.9723585
ISIC_0025393,27658,660.222433,1.266630713,41528,23.18892288,0.974382238,128.7497288,98.92765204,105.301938,150.0633572,21.87656111,6.653707812,510.9111135
ISIC_0025394,90972,1272.371709,1.424862162,130284,73.00188446,0.967616275,117.9650881,87.7762938,87.09461153,98.62193495,29.80610384,6.689262081,894.7962612
ISIC_0025395,15341,477.4873679,1.198559926,21235,151.493103,0.983880926,347.1961408,92.47265498,95.9725572,133.3891967,26.64554701,6.796390726,723.6563428
ISIC_0025396,72477,1135.910809,1.426087273,114048,115.2584457,0.949342053,105.2794128,140.2372477,141.9456333,116.7171516,49.02109261,6.843588065,2467.117772
ISIC_0025397,59198,955.4772638,1.235856431,79424,23.74023819,0.968371373,176.6459677,124.3947262,126.616406,122.0203498,23.66493267,6.178897572,571.5079927
ISIC_0025398,10319,396.2325364,1.230965148,14592,137.2033234,0.980864942,290.8560904,100.1633879,101.9363633,122.7921956,23.45434578,6.485723947,554.1433898
ISIC_0025399,14247,468.0315248,1.241177992,19200,173.2045441,0.97578684,459.1360985,153.7451393,154.6509675,120.1823776,19.20150153,5.562798486,390.832851
ISIC_0025400,19768,548.0731565,1.224016279,25756,178.2697449,0.982591194,72.23634153,134.1727539,141.438301,140.3262006,33.27584861,6.685977559,1125.563833
ISIC_0025401,81315,1168.396091,1.344111695,124722,150.4087677,0.955134455,93.12525363,135.6186558,137.7210601,113.2081699,29.80689568,6.76120334,890.3797495
ISIC_0025402,35278,725.1513648,1.1965394,49275,73.01300049,0.975209838,92.17393274,106.7887068,113.9297012,132.4509609,38.15732573,7.009821609,1469.345525
ISIC_0025403,82975,1192.489456,1.372504694,119646,58.05315781,0.951336445,159.4095571,160.8596686,164.8689565,146.5906799,14.67459205,4.963321478,235.4716163
ISIC_0025404,35706,747.6538903,1.257231026,46104,172.6345062,0.961832787,290.2423121,96.6189716,98.4706772,117.8037491,29.35456746,6.837419714,869.5015348
ISIC_0025405,26056,686.9259684,1.45768655,38203,16.58407593,0.961050589,126.1725514,95.55538072,98.95416283,130.028733,26.46958226,6.731570085,703.6584814
ISIC_0025406,46658,1024.707712,1.808447353,76230,63.57160187,0.879306899,193.5280552,136.2922757,139.2275423,127.1585652,14.34163363,5.268268612,216.1537671
ISIC_0025407,28025,668.3401809,1.281451894,40020,63.92499924,0.981980706,381.6295449,64.40442462,68.89139459,149.9962415,26.60143622,7.049114487,756.7480335
ISIC_0025408,69026,1127.820408,1.477126947,93121,95.54712677,0.92364874,154.0094457,152.9009793,152.9313012,120.1093646,21.60626498,5.69256119,500.7742262
ISIC_0025409,38236,833.3351287,1.458822146,63002,76.15548706,0.926991313,76.16528924,135.5780939,139.2059839,122.3108327,22.14856222,5.617656979,532.9686199
ISIC_0025410,52544,947.9797901,1.371909812,67671,89.31919098,0.950346852,56.26309378,149.9951279,147.5333498,90.58290195,15.89441808,5.139073988,281.0219304
ISIC_0025411,104766,1358.236711,1.409073946,144256,51.10929108,0.937046364,89.28209533,174.1017792,172.4662836,107.2509434,36.81078921,6.592116247,1430.437057
ISIC_0025412,109636,1345.207272,1.320338041,158379,133.0118866,0.973177598,144.3496662,111.0542705,112.4593655,106.0059074,35.44010573,7.203389961,1258.578656
ISIC_0025413,121728,1466.545369,1.413197729,177320,115.4536362,0.929748466,63.09568874,133.9588016,135.3384513,121.5811563,34.09002254,6.239770332,1256.731272
ISIC_0025414,203057,1882.330077,1.394494023,270000,65.92835236,0.961297086,139.33333,160.8012578,163.5251432,130.3702327,24.30870431,5.387859018,662.9616861
ISIC_0025415,89830,1188.673224,1.258947768,117000,69.79233551,0.972378427,185.1589892,106.2141489,111.7357676,159.5216891,37.40221012,7.038698903,1403.447297
ISIC_0025416,123549,1429.047896,1.321853824,177792,57.23668289,0.961539815,111.8866846,120.0967389,120.9483633,114.347835,32.78667171,6.622545734,1093.311348
ISIC_0025417,6226,312.7350616,1.277775876,8748,94.03162384,0.959892836,186.6752326,169.4376807,171.7955884,133.2728344,34.48202298,6.508870018,1200.095058
ISIC_0025418,66979,1019.945302,1.244060563,90558,168.2833405,0.97387601,199.7273175,115.2375969,117.5109263,119.365418,19.65069058,5.905055788,397.8582509
ISIC_0025419,11893,409.8477598,1.141116664,14964,89.61625671,0.989692463,66.98663073,127.5915244,130.6828386,127.3872026,29.32317605,6.481558123,862.9054483
ISIC_0025420,55089,970.9331067,1.372169513,83390,122.8697128,0.960665964,192.5448637,129.3607435,132.4585791,129.3970666,32.62266262,6.453518968,1080.190685
ISIC_0025421,29904,652.641697,1.144300412,37828,41.07659149,0.987811181,33.9518459,109.7041867,110.1964509,105.1625869,40.37611252,7.08377351,1646.122478
ISIC_0025422,18570,556.7594466,1.346112452,26226,102.5530014,0.946857157,291.4843294,130.9616047,134.5105188,135.5567941,44.3987961,6.777290243,2041.263601
ISIC_0025423,22887,573.57063,1.156217582,30576,70.60416412,0.987741837,155.2755712,81.5404815,86.72387527,151.9013559,30.77866508,6.831848143,972.0806346
ISIC_0025424,48800,848.5239464,1.183076535,63142,59.31727219,0.982731331,63.16065572,118.883832,119.2809085,105.5915027,64.77001221,7.175298265,4235.44152
ISIC_0025425,14097,446.2914106,1.140487448,16851,80.85720825,0.990061978,360.7644177,122.5600482,134.8042137,181.9312383,25.32279661,5.790882182,722.7811438
ISIC_0025426,51909,898.4234427,1.246874658,67574,68.02166748,0.977903699,179.2675644,99.007648,103.9224091,154.6714571,26.54153736,6.59219276,705.1684849
ISIC_0025427,143421,1551.994072,1.342812676,205065,136.0973969,0.954505789,93.21747861,155.980735,159.8870667,141.6109682,26.43244848,6.453119916,711.2696279
ISIC_0025428,12380,479.1614673,1.501532398,16560,174.4855957,0.947294666,65.71631659,110.95,115.2957189,130.129133,24.06880981,5.790146566,618.1484094
ISIC_0025429,58812,996.6488371,1.354032137,79875,87.12078857,0.95722004,199.2126777,135.5843025,138.0478247,124.7629679,26.75958447,6.109478407,743.237018
ISIC_0025430,125199,1374.822502,1.207064573,170382,169.2006531,0.982031681,129.2033323,118.3035807,126.4129106,166.1848311,15.1913,5.5437339,234.697512
ISIC_0025431,62896,1003.317885,1.282420642,90585,121.3445435,0.963237675,146.275248,164.713702,162.7441173,107.2286314,29.18328907,6.517838889,873.9745767
ISIC_0025432,123753,1442.087434,1.344271667,154066,99.36006927,0.970661284,70.72668945,148.5097493,147.7700312,119.4355261,18.30873166,5.516436555,358.6542812
ISIC_0025433,61215,996.4234399,1.300103869,79927,121.8692627,0.970992378,106.4397942,171.7100221,172.9693049,112.9159901,21.51994017,5.265264062,510.2440674
ISIC_0025434,230287,1963.477263,1.337538283,270000,78.37647247,0.957117999,36.82917403,130.9384594,135.1404725,116.2361126,19.57226226,6.061992211,389.5473761
ISIC_0025435,45947,826.4823159,1.192475867,59290,12.36381721,0.977400161,75.46224997,117.0016323,118.5957516,115.675278,27.142714,6.321968751,744.7648018
ISIC_0025436,126394,1785.131153,2.018763453,217318,95.21447754,0.823625062,108.0112031,126.9486052,127.9105258,123.6150292,43.16257918,6.536299816,1948.879862
ISIC_0025437,46315,879.8376538,1.341216165,65494,64.03630829,0.973701784,225.0854366,133.8049012,136.834762,128.005038,26.9791419,6.112083787,763.7202596
ISIC_0025438,121560,1376.964631,1.24724234,163611,1.340955615,0.969451212,58.69720302,138.6367391,140.7430514,136.4453493,18.05971661,5.821124761,330.8176283
ISIC_0025439,141895,1807.741325,1.842815406,242011,113.9458923,0.869247187,168.6628563,111.1738469,110.2350071,90.63644949,41.93360657,7.361201267,1781.437189
ISIC_0025440,108979,1345.969685,1.330036204,133630,81.75395966,0.962872485,42.75319098,126.9489718,130.8019037,138.4224728,22.36176942,5.833120481,522.1954164
ISIC_0025441,84734,880.1635563,1.24008455,68876,150.5817261,0.970132506,430.7533693,136.6653528,138.550511,120.8246906,31.3070635,6.280286951,1033.25056
ISIC_0025442,25826,692.9432127,1.497373986,34848,90.71639252,0.956286303,160.0867342,109.8936343,110.3196908,105.9128398,43.40002124,7.0109188,1908.391101
ISIC_0025443,92024,1259.325023,1.379474052,135198,78.96880341,0.94282387,66.50925845,145.9712358,147.3705012,109.4947151,44.31660352,6.872971205,2026.827757
ISIC_0025444,29668,659.4112489,1.17746386,40077,11.70680809,0.98126753,500.4891464,130.2012269,131.9763943,122.7615725,26.59186659,6.404707872,716.3010678
ISIC_0025445,32048,676.0386667,1.145052417,43044,125.2125473,0.988531146,159.0733899,73.97809536,76.84644908,128.5260443,38.16684314,7.305689815,1556.230415
ISIC_0025446,20432,723.7543944,2.071990498,40515,18.7456131,0.816991208,183.5802662,143.2972788,145.3284064,109.1681513,28.1784229,6.175469832,876.8943884
ISIC_0025447,37910,753.6955199,1.202696076,50752,24.53581047,0.982704752,236.929992,83.24600369,87.26485536,136.7239251,29.1811843,6.627216994,857.517403
ISIC_0025448,29811,801.8376561,1.736427224,51034,68.93199921,0.982953029,392.7377141,102.2840227,107.6508112,161.2003176,27.00609083,6.556735093,730.1614125
ISIC_0025449,17514,523.2447282,1.260318255,24150,89.35177612,0.97741215,348.3786683,115.9951467,119.1561037,126.6482243,27.71718726,6.553130148,769.672254
ISIC_0025450,74744,1086.974737,1.265913171,102070,78.98419189,0.961232083,69.52798886,151.2965188,158.4565628,135.6940133,42.60147536,6.280838652,1998.008541
ISIC_0025451,41747,819.2346244,1.290018395,62510,58.44525146,0.955470165,97.50161686,84.30239299,87.23856405,120.5525667,52.71227672,7.225169337,2816.005018
ISIC_0025452,16904,494.1736593,1.16434042,22032,145.3158112,0.985155235,253.3648839,111.7671557,126.6159883,177.623107,20.77704261,5.382844585,506.2764907
ISIC_0025453,105571,1412.319972,1.512129797,167796,106.8280334,0.903780586,87.07360922,182.9500147,184.5927985,103.9338518,24.96509697,6.720439727,632.1045065
ISIC_0025454,173032,1812.136206,1.517305724,252600,69.12719727,0.938124198,172.3730177,136.2139662,136.8358492,106.739788,26.80117982,6.863022632,726.2487807
ISIC_0025455,158608,1568.420476,1.239527046,209235,124.6634445,0.981141687,96.26470291,109.6057765,112.5351538,121.728698,14.41081825,5.314335458,218.068468
ISIC_0025456,28742,667.3696188,1.245624967,39894,119.3002472,0.964394658,121.6138055,141.0876766,138.6072762,76.25730058,45.94340413,7.056841204,2123.140035
ISIC_0025457,130974,1597.165643,1.558244636,196656,66.80358124,0.878039739,99.84809198,154.8938797,161.0129211,166.3865067,24.94939418,5.821531319,671.6930307
ISIC_0025458,12268,480.4579335,1.522493861,19500,151.16716,0.901082897,146.3214867,99.47742093,96.71100967,92.40927617,33.29829282,6.392479697,1137.667918
ISIC_0025459,39148,777.0681031,1.238157374,51680,87.08480835,0.979777834,241.7312761,95.72185041,97.82633425,117.7783029,29.41256143,6.813448226,868.0367486
ISIC_0025460,48311,869.0508589,1.253811707,62640,12.89068222,0.974367574,87.47589574,101.3833909,106.1510974,156.3072868,23.26672226,6.272980714,545.5438177
ISIC_0025461,22620,585.6711344,1.220311268,29040,93.36658478,0.971697908,307.5168876,96.43678161,98.93959623,116.1212054,24.53079453,6.563997595,603.2293844
ISIC_0025462,28512,665.3279908,1.248214798,36869,171.9855347,0.977486058,233.5533108,101.8032407,105.529169,137.0738987,28.38865448,6.639920045,813.0745619
ISIC_0025463,61639,974.5310862,1.23438089,87264,5.559025288,0.96316485,93.7546683,127.6092571,124.7461077,113.5420378,36.2956204,6.245906974,1382.998176
ISIC_0025464,60732,981.53614,1.271398845,80571,68.74675751,0.972557337,150.5768293,81.00218995,87.56864037,166.2422501,27.15107933,6.837092496,741.7156484
ISIC_0025465,10678,406.1736603,1.24931778,15720,28.38043404,0.951167631,104.4330398,157.8569957,159.902822,114.9110632,16.13691105,5.067466701,313.0613724
ISIC_0025466,15575,543.8721455,1.534370005,25232,133.887207,0.923628044,198.4554734,133.0685714,133.2879187,102.2466346,18.25093741,5.373193924,369.2354904
ISIC_0025467,219911,1847.234624,1.239621262,250200,105.2462463,0.990582612,61.21341815,174.7755501,181.2666245,129.9932624,36.63857351,6.991571999,1349.049099
ISIC_0025468,119421,1455.66103,1.41980757,152550,10.45924282,0.956971225,61.81077029,126.4994264,132.5577355,164.9243656,15.633803,5.383759675,261.5783603
ISIC_0025469,179445,1735.727044,1.341898259,217906,144.6994171,0.961321166,104.6711806,119.975101,120.9167767,103.2679354,33.96949484,6.893415357,1159.385734
ISIC_0025470,92383,1398.638731,1.696171437,152397,29.69619751,0.879510683,118.5243172,137.7371919,139.8493301,114.8675261,11.17422158,4.48739466,150.7365107
ISIC_0025471,83449,1271.90367,1.553211133,113183,93.47659302,0.924420031,67.20809116,152.2952462,157.1089088,132.6711884,27.8876727,6.105211635,778.9505882
ISIC_0025472,195055,1831.408287,1.374128687,259650,111.4250183,0.949542675,67.60694163,105.4340007,105.4180855,95.11204703,36.96100629,7.231176934,1367.890252
ISIC_0025473,22649,622.1564155,1.376351059,31702,94.59625244,0.973022325,68.92525053,163.9778357,169.7479653,140.7521303,13.37427084,5.13350166,196.0107054
ISIC_0025474,102545,1435.10677,1.607890754,175775,131.8085785,0.913420825,226.8337998,127.4039787,129.3325369,121.2948689,22.02149438,5.993148311,501.2939148
ISIC_0025475,19383,558.2152917,1.295474806,25773,104.5994644,0.986649484,322.2881905,87.9748233,93.43068668,163.9023887,24.84774616,6.634736025,623.3980251
ISIC_0025476,23973,653.7888844,1.436608815,33578,107.919487,0.928436985,199.5845325,108.541067,109.1504053,89.95925972,31.44761811,6.584916383,1003.011318
