Image,ZPTV,ICM_Quality,TE_Integrity,Blastocoel_Volume
93.BMP,3.622950185,126.4385568,0.082650441,29497
94.BMP,3.29529776,144.3315486,0.071251091,40236
95.BMP,2.757915483,134.0795195,0.075590968,49328
96.BMP,3.598325844,159.6449021,0.071619181,29827
97.BMP,5.322016662,159.4423965,0.080681294,58556
98.BMP,1.871762448,163.5022447,0.004672523,74672
99.BMP,3.703357428,118.6892168,0.088650759,50445
R12-0090A.bmp,3.709233183,137.91582,0.071108048,29644
R12-0090B.bmp,2.870082318,147.8854184,0.005344299,20747
R12-0105A.bmp,4.100593025,124.282915,0.061653491,28843
R12-0169A.bmp,2.914035768,101.3006715,0.006054831,51570
R12-0169B.bmp,3.532648505,114.3017447,0.106967022,28634
R12-0206A.bmp,3.499782018,104.9221113,0.112404381,83192
R12-0206B.bmp,2.710616561,95.55100808,0.086051427,21965
R12-0215.bmp,2.966403217,152.7956778,0.070687746,29933
R12-0221A.bmp,3.14517403,102.3994723,0.094177154,45017
R12-0221B.bmp,4.291862193,105.0879347,0.10191078,40187
R12-0223A.bmp,5.302552918,106.4673745,0.005881816,57248
R12-0223B.bmp,9.040893324,109.6486994,0.070913233,35515
R12-0236.bmp,1.354239617,112.2609001,0.004266099,53963
R12-0255A.bmp,3.670715979,112.5684024,0.065040189,44748
R12-0255B.bmp,3.669042289,110.4095087,0.004198976,71436
R12-0257.bmp,2.441512664,107.6251558,0.004980024,65639
R12-0259.bmp,2.115425103,111.1451213,0.003743867,60622
R12-0266.bmp,2.384011254,167.601778,0.007928896,69348
R12-0268A.bmp,3.46833031,172.007824,0.074508091,49823
R12-0268B.bmp,3.243215168,145.2638288,0.005070501,38092
R12-0279A.bmp,4.308086292,140.6311494,0.005215252,26271
R12-0279B.bmp,2.382991713,138.2747903,0.087188993,24258
R12-0280.bmp,5.182089844,167.1476919,0.004698837,73841
R12-0290.bmp,4.13048542,116.876427,0.00408914,40109
R12-0296.bmp,3.212885428,108.1998493,0.007474836,61908
R12-0303.bmp,4.619036374,108.0386116,0.09200165,23533
R12-0304.bmp,4.667018524,116.557077,0.088207681,69581
R12-0315.bmp,5.875272394,115.4480136,0.075071206,44722
R12-0316A.bmp,3.528062365,104.0334678,0.098683044,44826
R12-0316B.bmp,2.965111607,97.65129565,0.009014749,62631
R12-0318A.bmp,2.520435343,103.1942068,0.036427872,25762
R12-0318B.bmp,3.199900424,99.94118572,0.071576171,59882
R12-0335.bmp,3.631904908,160.9536091,0.11464829,55172
R12-0338A.bmp,18.39285475,137.8965012,0.083254898,22015
R12-0338B.bmp,4.254824275,151.3055929,0.066830443,28499
R12-0343A.bmp,10.70045797,136.7158477,0.078121152,48861
R12-0343B.bmp,6.734945097,144.873848,0.060999898,39196
R12-0358A.bmp,8.938714807,142.6706314,0.088796216,50723
R12-0358B.bmp,5.551132577,137.5844311,0.074878095,26165
R12-0378A.bmp,3.144528488,170.3663096,0.004227662,82641
R12-0378B.bmp,5.399230582,160.0984462,0.062948402,22263
R12-0391A.bmp,3.604281243,108.2501488,0.088943945,11569
R12-0391B.bmp,2.983828855,106.3602178,0.075398294,22538
R12-0396A.bmp,3.697662584,145.3100917,0.095963989,31120
R12-0396B.bmp,4.18637444,143.2437645,0.071981978,20051
R12-0397A.bmp,2.496281132,104.5405762,0.079371103,77914
R12-0397B.bmp,3.361799994,121.5607924,0.004809747,31038
R12-0422A.bmp,3.704256511,151.7587831,0.084996329,71391
R12-0422B.bmp,2.662164749,152.1205848,0.073428747,27775
R12-0425.bmp,8.05757193,154.9485046,0.063084312,41347
R12-0461.bmp,6.000785253,109.8752705,0.097115844,74737
R12-0463A.bmp,3.326494499,100.2991844,0.004220006,34254
R12-0463B.bmp,7.743950462,99.02796032,0.055615215,35601
R12-0469.bmp,5.607701382,115.2140219,0.074392075,43664
R12-0471.bmp,4.451557897,107.6638457,0.081005739,24202
R12-0486A.bmp,3.48038631,146.8095184,0.06658396,37948
R12-0486B.bmp,2.63011104,148.5345636,0.002845651,70135
R12-0502.bmp,2.050578914,136.7741391,0.090298559,52843
R12-0508A.bmp,3.011738059,139.0757566,0.078997926,33081
R12-0508B.bmp,3.053506261,128.991428,0.008773284,84965
R13-0019.bmp,4.000301939,95.0758668,0.048028529,45223
R13-0077A.bmp,1.462976337,133.8240964,0.083843553,50134
R13-0077B.bmp,3.689512026,121.7693636,0.091012952,29439
R13-0079A.bmp,3.576335991,140.8856829,0.073473911,39817
R13-0079B.bmp,3.495375264,129.3230539,0.005982071,49228
R13-0081A.bmp,3.735979052,155.111687,0.007152381,30890
R13-0081B.bmp,2.518229863,156.1362361,0.004418438,58729
R13-0090.bmp,3.561015829,120.7990799,0.085767174,50509
R13-0097.bmp,4.457335252,118.040055,0.06647164,58366
R13-0100A.bmp,3.124860986,117.5351519,0.102877944,23548
R13-0100B.bmp,3.258841264,116.1770042,0.088312654,15903
R13-0127.bmp,2.488614353,95.29523616,0.004060582,57379
R13-0140A.bmp,2.661468943,113.7396604,0.058314011,32209
R13-0140B.bmp,2.169061302,91.80275412,0.00633316,41269
R13-0152A.bmp,3.782908021,100.6559584,0.091235243,24931
R13-0152B.bmp,3.510338873,112.1090003,0.061932666,31097
R13-0154.bmp,5.820097924,109.8846898,0.105740237,57669
R13-0162.bmp,4.438573712,123.3341905,0.005051708,36501
R13-0163.bmp,2.716687502,112.6977782,0.063578158,36866
R13-0167B.bmp,5.022970346,129.581242,0.064935862,32480
R13-0204A.bmp,3.211056717,113.3303651,0.061717992,27391
R13-0204B.bmp,4.990091072,108.0754319,0.134602856,25429
R13-0230A.bmp,5.217246956,165.4360596,0.074077311,19483
R13-0230B.bmp,6.244298227,157.688993,0.092698987,19752
R13-0235A.bmp,22.09047059,104.8474276,0.005359088,43492
R13-0235B.bmp,2.47379593,102.0258849,0.005249498,31301
R13-0247A.bmp,5.1061292,122.3392857,0.072120207,39210
R13-0247B.bmp,4.31596035,116.5900964,0.012215001,22785
R13-0261.bmp,3.389136204,120.155845,0.077232647,25684
R13-0263A.bmp,2.769317172,97.86437532,0.004993968,56098
R13-0263B.bmp,2.963185673,97.77127189,0.00424365,59686
R13-0269.bmp,5.210504965,117.2473141,0.005301138,65716
R13-0298.bmp,2.430107169,118.9753173,0.008035095,65932
R13-0344.bmp,3.852958707,121.0051454,0.004538099,57026
R13-0351.bmp,2.154304652,115.3016267,0.00807719,51362
R13-0360.bmp,3.48825457,130.2342319,0.112984205,26956
R13-0383A.bmp,1.996196057,162.2735187,0.007109564,47795
R13-0383B.bmp,4.985182529,164.5786917,0.105164992,27084
R13-0393.bmp,2.106934166,169.739076,0.007604086,57104
R13-0394A.bmp,2.566367164,114.9541299,0.053128084,52959
R13-0394B.bmp,3.115297982,140.5876055,0.076175594,45695
R13-0410A.bmp,3.187449349,134.8531483,0.005497054,22464
R13-0410B.bmp,1.886837957,145.2268352,0.060781439,32860
R13-0424A.bmp,2.556012667,177.5855907,0.06273381,37878
R13-0424B.bmp,5.739526324,176.8064034,0.054496094,12100
R13-0449.bmp,5.114336282,192.6682947,0.066004593,31433
R13-0474.bmp,3.219876717,151.3240338,0.068569002,18981
R13-0517A.bmp,2.057378353,99.93000496,0.088992978,65642
R13-0517B.bmp,3.336528747,108.9756413,0.091228774,43717
R13-0564.bmp,1.861920601,95.09855525,0.088733255,49279
R14-0013.bmp,4.041457976,114.7409998,0.094958516,25286
R14-0023A.bmp,4.35189218,100.9150206,0.048027024,18440
R14-0023B.bmp,4.186020686,100.1994544,0.061641306,24464
R14-0032A.bmp,2.004154591,188.2185223,0.099160793,49258
R14-0032B.bmp,2.401416814,178.2861498,0.005303307,53791
R14-0033.bmp,3.437267076,175.5164775,0.082781221,35211
R14-0050A.bmp,2.84229255,161.0318301,0.005613627,65865
R14-0050B.bmp,2.117390509,168.4731791,0.004810192,47711
R14-0051.bmp,3.952491472,164.8694628,0.067940316,37815
R14-0055A.bmp,4.875605665,165.3926024,0.005550974,61767
R14-0055B.bmp,2.452749656,154.9017478,0.060289727,24304
R14-0068.bmp,3.13299735,142.3930454,0.079513075,32821
R14-0069A.bmp,7.535457769,146.9382907,0.086702413,65534
R14-0069B.bmp,4.238596505,139.1868116,0.0039565,49316
R14-0070.bmp,3.212645359,126.2541935,0.071867636,39456
R14-0081A.bmp,3.864281952,164.0539165,0.07213364,59308
R14-0081B.bmp,4.300565339,140.7770966,0.003112061,78987
R14-0085.bmp,2.688525207,161.2145103,0.008227459,30794
R14-0090.bmp,2.806543751,125.2999005,0.009085098,72316
R14-0110.bmp,3.022114391,117.909665,0.002513218,79247
R14-0111.bmp,1.819953675,110.5819404,0.09720779,38877
R14-0114.bmp,4.538796223,101.4493354,0.061028363,10811
R14-0116.bmp,2.399563421,127.7984035,0.004032076,55713
R14-0124A.bmp,2.638595042,102.1642273,0.005375651,60976
R14-0124B.bmp,4.959370502,101.9479384,0.058107435,58577
R14-0137A.bmp,4.947481081,137.4907468,0.003464363,89517
R14-0137B.bmp,4.409991389,130.9789035,0.055381913,28801
R14-0143.bmp,5.604538391,122.4200703,0.093182293,68080
R14-0163.bmp,8.542354044,122.8815682,0.086451463,40618
R14-0165A.bmp,4.617643327,123.2013742,0.006310756,84994
R14-0165B.bmp,2.886454179,125.3712758,0.057841005,33466
R14-0172A.bmp,2.82878898,132.4577262,0.087381168,30513
R14-0172B.bmp,3.826749874,139.8392782,0.107525102,25791
R14-0184A.bmp,3.352583772,113.503782,0.005226249,46367
R14-0184B.bmp,2.852668234,105.2399685,0.077808314,28826
R14-0186.bmp,3.438447957,173.6860705,0.007992425,66969
R14-0190.bmp,12.23805881,146.4732181,0.112559277,55897
R14-0191A.bmp,3.213255228,130.7082929,0.066528159,30848
R14-0191B.bmp,2.925994107,158.2059751,0.003495214,43585
R14-0199A.bmp,4.728899968,126.3542957,0.067677319,44488
R14-0199B.bmp,3.163405863,108.4165324,0.065682344,37337
R14-0204A.bmp,2.241484234,135.8459138,0.081511993,29295
R14-0204B.bmp,3.552342058,128.7253787,0.05504973,15133
R14-0257.bmp,2.033140012,177.0228145,0.073283842,37658
R14-0264A.bmp,4.746246653,125.3976168,0.112974663,34655
R14-0264B.bmp,2.5380478,127.3179748,0.058575845,23628
R14-0266.bmp,4.973575936,132.5930241,0.115841629,77041
R14-0275.bmp,3.68610526,112.7975568,0.005057133,58577
R14-0276.bmp,4.48202484,112.6987006,0.072876502,37359
R14-0291A.bmp,5.240751814,175.8162786,0.004279225,64146
R14-0291B.bmp,2.714733621,170.6360014,0.006013372,31802
R14-0324A.bmp,2.403843148,122.47967,0.045334146,36294
R14-0324B.bmp,2.210791676,115.160262,0.058995721,26160
R14-0335.bmp,3.924001157,108.8389475,0.060628189,39853
R14-0343.bmp,3.615363864,149.0285391,0.006299442,52268
R14-0348.bmp,4.592042752,132.65105,0.003799843,74359
R14-0351.bmp,2.52223762,147.8770248,0.004551776,52914
R14-0354.bmp,4.963128919,147.1010735,0.064098614,12409
R14-0362A.bmp,3.762916928,122.2003907,0.006372397,53452
R14-0362B.bmp,2.752075835,108.1934695,0.0921932,34028
R14-0369.bmp,3.473021427,165.8814505,0.062044409,33813
R14-0370.bmp,6.000659965,181.151805,0.004377865,69765
R14-0392A.bmp,5.791260417,130.6276915,0.100137653,26318
R14-0392B.bmp,31.05039821,132.1668603,0.012404378,24320
R14-0404.bmp,3.789742147,136.5197734,0.081774591,41537
R14-0411.bmp,3.692953863,128.2682476,0.006600293,53516
R14-0415A.bmp,4.446859841,130.1147135,0.086642215,20274
R14-0415B.bmp,6.733051784,134.4582475,0.063533722,25456
R14-0423A.bmp,9.143217859,138.2219458,0.0049651,53339
R14-0423B.bmp,6.117484778,111.330294,0.073325219,32483
R14-0447A.bmp,4.824038674,154.1992201,0.083947701,22080
R14-0447B.bmp,2.127681323,153.8083859,0.115824662,37028
R14-0453A.bmp,3.309054155,152.0507358,0.085220115,39569
R14-0453B.bmp,4.66530879,132.4723624,0.069567425,31488
R14-0461A.bmp,4.635424144,153.6437703,0.089337115,57370
R14-0461B.bmp,6.022691447,158.2552167,0.007767805,51288
R14-0465.bmp,3.524114271,138.5882827,0.005268834,61678
R14-0473A.bmp,3.898194909,156.5106618,0.074203933,44938
R14-0473B.bmp,4.35939931,167.6688351,0.061260349,22169
R14-0485.bmp,2.759294773,139.5277657,0.058912199,11481
R14-0502A.bmp,2.980689438,175.8484276,0.073383833,46177
R14-0502B.bmp,2.975876799,156.484975,0.091939779,39883
R14-0506A.bmp,3.052970498,161.2340316,0.108351315,80701
R14-0506B.bmp,2.965468714,150.8103833,0.07432328,31904
R14-0511A.bmp,3.362568307,122.3831173,0.116610124,70195
R14-0511B.bmp,3.849373383,118.3796084,0.124390076,56436
R14-0531.bmp,4.322137864,113.4709046,0.076044343,23065
R14-0540.bmp,4.210328515,112.6246062,0.066891505,27701
R14-0541A.bmp,1.888895192,119.377864,0.087405105,44754
R14-0541B.bmp,3.652852491,105.0061206,0.074467111,23460
R14-0542.bmp,6.036247949,102.1752258,0.083807815,27925
R14-0545.bmp,2.989322422,120.9901663,0.069375474,22022
R14-0548A.bmp,3.227485517,125.1959053,0.002731505,102144
R14-0558.bmp,3.131907021,142.2563045,0.076653544,34093
R14-0572A.bmp,2.705955231,120.0957473,0.006103664,81247
R14-0572B.bmp,3.293330341,93.23524859,0.080340547,57252
R14-0575.bmp,3.169354877,127.1770058,0.07039719,43832
R14-0584A.bmp,4.844085158,121.6790434,0.005706446,61680
R14-0584B.bmp,4.337738999,130.6952679,0.077758427,31162
R14-0587.bmp,2.529725752,167.3100199,0.08647119,27995
R14-0590A.bmp,4.287371827,173.5758154,0.088927712,35469
R14-0590B.bmp,5.031975286,170.3676547,0.004944708,51301
R14-0610A.bmp,1.818274174,160.2716447,0.113458407,66346
R14-0610B.bmp,2.740650865,138.5288165,0.075724741,78231
R14-0611.bmp,5.506687885,155.3882125,0.069422154,55937
R14-0621A.bmp,2.089834759,102.4416221,0.109494941,43493
R14-0621B.bmp,4.090814933,119.5167729,0.08872767,29104
R14-0636.bmp,1.482352057,171.119506,0.005355788,91008
R14-0638A.bmp,3.462535391,159.9145157,0.004836914,74048
R14-0638B.bmp,3.922588424,166.0017231,0.090989585,56597
R14-0644B.bmp,5.145610926,109.3142766,0.150147879,61529
R14-0646.bmp,4.530282518,160.8248731,0.12483832,44370
R14-0648.bmp,3.22938931,127.2626593,0.004666545,55400
R14-0652.bmp,20.54392014,141.9482616,0.06812073,44739
R15-0011A.bmp,2.269123643,182.3874682,0.004828653,89956
R15-0012A.bmp,3.275504453,163.6935583,0.074895169,37022
R15-0012B.bmp,1.703204827,162.2747646,0.052908481,21750
R15-0016.bmp,5.00580929,148.06339,0.003687331,71454
R15-0017.bmp,6.036105102,180.7208197,0.054609958,51686
R15-0020.bmp,5.701250357,148.1855893,0.010534358,80886
R15-0029.bmp,5.516907193,111.0897952,0.072285174,54404
R15-0040B.bmp,4.602090785,141.8498728,0.093568897,35088
R15-0048B.bmp,5.99060733,156.4705711,0.066628224,21813
R15-0073A.bmp,2.366342026,154.0506709,0.005832137,91290
R15-0073B.bmp,2.618301813,138.9616823,0.005049022,72021
R15-0074A.bmp,3.150974531,152.8634614,0.07950357,41864
R15-0074B.bmp,3.717031859,142.5338782,0.007035685,32836
R15-0080A.bmp,4.149977233,133.9860263,0.006313432,47039
R15-0080B.bmp,3.246548909,127.6202566,0.092329722,10909
R15-0116A.bmp,3.264889289,123.3535047,0.005698466,81392
R15-0116B.bmp,3.395601158,103.0399302,0.004629143,56186
R15-0129A.bmp,4.92581561,118.4751105,0.06701631,26666
R15-0129B.bmp,5.747052668,129.3515093,0.103815198,40520
R15-0138A.bmp,3.56655323,150.2601958,0.086942067,43080
R15-0138B.bmp,3.971400078,153.3275046,0.086095351,28166
R15-0146.bmp,3.950531225,130.2569183,0.004183201,53273
R15-0150.bmp,3.666262695,108.666088,0.004275094,49469
R15-0152A.bmp,3.520027241,101.2004529,0.07311873,34040
R15-0152B.bmp,3.896521695,106.8312386,0.068380318,37696
R15-0158A.bmp,7.148999233,118.5272567,0.00444641,57122
R15-0158B.bmp,3.653743986,122.9728016,0.003298862,63493
R15-0166A.bmp,3.577509348,138.2012681,0.088428694,42711
R15-0166B.bmp,6.360192673,143.9371135,0.008347609,60200
R15-0170A.bmp,2.428007383,115.9662589,0.081291479,55291
R15-0170B.bmp,4.293527147,97.55636336,0.083603139,31493
R15-0179.bmp,2.064957732,97.63816886,0.075248967,36004
R15-0181A.bmp,3.364597212,161.0596895,0.095791137,82699
R15-0181B.bmp,7.089984077,139.6643961,0.123431656,66719
R15-0182A.bmp,2.35965852,144.1015287,0.101298841,82736
R15-0182B.bmp,6.146419444,152.7546944,0.061139066,25249
R15-0185A.bmp,2.736912075,114.3957801,0.092793996,31709
R15-0189A.bmp,4.360251387,135.8743978,0.06708097,30501
R15-0189B.bmp,4.871501757,138.9811051,0.063621285,21080
R15-0197.bmp,2.913480169,141.7568584,0.01351243,66585
R15-0207A.bmp,2.721683871,150.787002,0.08097691,42665
R15-0207B.bmp,4.101885182,171.1521043,0.003969651,77550
R15-0209.bmp,4.070157161,146.5175669,0.078419915,34872
R15-0214A.bmp,4.195956017,144.291218,0.006384586,47086
R15-0214B.bmp,3.722745078,154.8801766,0.095827133,79894
R15-0228A.bmp,2.303314226,169.6024482,0.007321181,108885
R15-0228B.bmp,2.116766545,165.7431914,0.104792038,47977
R15-0230A.bmp,7.113806718,151.145546,0.082575941,58815
R15-0230B.bmp,7.275294011,151.6055694,0.057471346,12669
R15-0239.bmp,4.318991034,137.4023482,0.07735152,77985
R15-0241.bmp,4.877468311,146.524103,0.071678767,65060
R15-0245.bmp,2.330204095,132.9586911,0.004472669,70703
R15-0262.bmp,5.922845573,122.9437057,0.003775504,55244
R15-0265.bmp,4.328250237,129.8510719,0.004888256,86428
R15-0279.bmp,4.117716479,134.2141728,0.075312945,67275
R15-0290.bmp,2.422881057,141.6133017,0.003948536,93109
R15-0300.bmp,2.432259671,124.8211119,0.007012473,50977
R15-0302.bmp,3.967808583,103.9331551,0.063710647,39917
R15-0304.bmp,8.800799113,118.7253272,0.005821878,52428
R15-0308A.bmp,3.70045665,163.9222194,0.07947689,45010
R15-0308B.bmp,2.971339106,166.9451468,0.055381366,18877
R15-0312.bmp,2.393291277,168.6200697,0.003846515,115009
R15-0317.bmp,2.179541752,172.3705041,0.112066616,68843
R15-0318.bmp,2.163194069,162.5414617,0.005658906,94897
R15-0323.bmp,2.623526305,131.5024821,0.005411148,101721
R15-0338.bmp,9.346454527,160.3194053,0.061943889,47653
R15-0345A.bmp,5.680908782,143.4768831,0.101121652,66377
R15-0345B.bmp,5.702525393,145.6573681,0.047796638,26490
R15-0347A.bmp,2.128125963,146.9429115,0.007996777,56129
R15-0347B.bmp,3.391000925,152.3019555,0.005078177,41514
R15-0353A.bmp,2.789480106,132.0808433,0.096729354,37685
R15-0357A.bmp,5.269006274,152.8968225,0.096937255,72868
R15-0357B.bmp,2.04098027,150.0133828,0.006963235,35879
R15-0365.bmp,2.421336921,148.8391066,0.004364046,98893
R15-0372A.bmp,1.790998666,105.8569286,0.089529925,56448
R15-0372B.bmp,2.824765366,140.4049594,0.097878993,62420
R15-0382.bmp,4.489636098,149.3073434,0.004665809,70105
R15-0385.bmp,4.042335439,147.5428068,0.003872193,73990
R15-0386.bmp,6.445389897,156.8488564,0.096682961,62298
R15-0390A.bmp,4.937759672,166.2202853,0.103480948,79905
R15-0390B.bmp,5.32148057,168.7349198,0.005103674,41778
R15-0394B.bmp,4.485428328,125.8593938,0.095134107,64441
R15-0396.bmp,3.565231755,115.7770982,0.105547507,73107
R15-0399A.bmp,5.279148809,125.8929032,0.11346079,73706
R15-0399B.bmp,3.376731632,125.7986553,0.00451683,77263
R15-0409.bmp,4.92265011,135.0237187,0.055909817,44652
R15-0410.bmp,3.655170009,121.1003153,0.058521003,22440
